 ,Country,State,County,Island,Locality Detail,FROM Date Collected,TO Date Collected,Collector(s),Order,Family,Subfamily,Genus,Subgenus,Species,Subspecies,Drawer,Survey,Sex,Collecting Remarks,Type,Curation Remarks,Count,Part,Stage,Elevation,Lat,Lon,,,,,
LACM ENT 397298,USA,CA,Ventura,San Nicolas,, 30.vii.1939,,J. C. von Bloeker,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,F,, , ,,,,,,,,,,,
LACM ENT 397299,USA,CA,Ventura,San Nicolas,, 24.vii.1939,,L. Martin,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,F,On Abronia maritima,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397300,USA,CA,Ventura,San Nicolas,, 25.vii.1939,,L. Martin,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,M, ,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397301,USA,CA,Ventura,San Nicolas,, 29.ii.1939,,L. Martin,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,F, ,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397302,USA,CA,Ventura,San Nicolas,, 25.vii.1939,,L. Martin,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey, , ,Paratype,Partial insects,,,,,,,,,,,
LACM ENT 397303,USA,CA,Ventura,San Nicolas,, 15.vi.1979,,C. D. Nagano,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey, , , , ,,,,,,,,,,,
LACM ENT 397304,USA,CA,Ventura,San Nicolas,, 23.xi.1940,,L. Martin,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey, , , , ,,,,,,,,,,,
LACM ENT 397305,USA,CA,Ventura,San Nicolas,, 23.xi.1940,,L. Martin,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397306,USA,CA,Ventura,San Nicolas,, 23.xi.1940,,L. Martin,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397307,USA,CA,Ventura,San Nicolas,, 23.xi.1940,,L. Martin,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397308,USA,CA,Ventura,San Nicolas,S. Ele. Bch, 1.iii.1980,,C. D. Nagano,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397309,USA,CA,Ventura,San Nicolas,Red Eye Bch, 1.iii.1980,,C. D. Nagano,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397310,USA,CA,Ventura,San Nicolas,S. Ele. Bch, 1.iii.1980,,C. D. Nagano,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397311,USA,CA,Ventura,San Nicolas,Red Eye Bch, 1.iii.1980,,C. D. Nagano,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397312,USA,CA,Ventura,San Nicolas,Red Eye Bch, 29.ii.1980,,C. D. Nagano,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397313,USA,CA,Ventura,San Nicolas,S. Ele. Bch, 28.xii.1979,,C. D. Nagano,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397314,USA,CA,Ventura,San Nicolas,S. Ele. Bch, 28.xii.1979,,C. D. Nagano,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397315,USA,CA,Ventura,San Nicolas,S. Ele. Bch, 28.xii.1979,,C. D. Nagano,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397316,USA,CA,Ventura,San Nicolas,S. Ele. Bch, 28.xii.1979,,C. D. Nagano,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397317,USA,CA,Ventura,San Nicolas,S. Ele. Bch, 28.xii.1979,,C. D. Nagano,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397318,USA,CA,Ventura,San Nicolas,S. Ele. Bch, 28.xii.1979,,C. D. Nagano,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,latespiculum,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397319,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397320,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397321,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397322,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397323,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397324,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397325,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397326,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397327,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397328,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397329,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397330,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397331,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397332,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397333,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397334,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397335,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397336,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397337,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397338,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397339,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397340,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397341,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397342,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397343,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397344,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397345,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397346,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397347,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397348,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397349,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397350,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397351,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397352,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397353,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397354,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397355,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397356,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397357,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397358,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397359,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397360,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397361,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397362,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397363,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397364,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397365,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397366,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397367,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397368,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397369,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397370,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397371,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397372,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397373,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397374,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397375,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397376,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397377,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,,,,,,,,,,,,
LACM ENT 397378,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397379,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397380,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397381,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397382,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397383,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397384,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397385,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397386,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397387,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397388,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397389,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397390,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397391,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397392,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397393,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey, ,On Atriplex leucophylla,,Partial insect,,,,,,,,,,,
LACM ENT 397394,USA,CA,Ventura,San Nicolas, , 27.ii.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F, ,Paratype, ,,,,,,,,,,,
LACM ENT 397395,USA,CA,Ventura,San Nicolas, , 27.ii.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F, ,Paratype, ,,,,,,,,,,,
LACM ENT 397396,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397397,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397398,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,M,On Atriplex leucophylla,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397399,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,lateconjuncta,26Q-04637,Channel Islands Survey,F,On Atriplex leucophylla,,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397400,USA,CA,Ventura,San Nicolas, , 13.iv.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,sulcata,26Q-04637,Channel Islands Survey,M,On Franseria bipinnatifida,Paratype,,,,,,,,,,,,
